-3	-3	0.139707749
-3	-2.5	0.113057393
-3	-2	0.058726645
-3	-1.5	-0.009982434
-3	-1	-0.076247466
-3	-0.5	-0.123844458
-3	0	-0.141120008
-3	0.5	-0.123844458
-3	1	-0.076247466
-3	1.5	-0.009982434
-3	2	0.058726645
-3	2.5	0.113057393
-3	3	0.139707749
-2.5	-3	0.592482932
-2.5	-2.5	0.479462137
-2.5	-2	0.24905229
-2.5	-1.5	-0.042334245
-2.5	-1	-0.323355879
-2.5	-0.5	-0.525208717
-2.5	0	-0.598472144
-2.5	0.5	-0.525208717
-2.5	1	-0.323355879
-2.5	1.5	-0.042334245
-2.5	2	0.24905229
-2.5	2.5	0.479462137
-2.5	3	0.592482932
-2	-3	0.90019763
-2	-2.5	0.728477828
-2	-2	0.378401248
-2	-1.5	-0.064321155
-2	-1	-0.491295496
-2	-0.5	-0.797983565
-2	0	-0.909297427
-2	0.5	-0.797983565
-2	1	-0.491295496
-2	1.5	-0.064321155
-2	2	0.378401248
-2	2.5	0.728477828
-2	3	0.90019763
-1.5	-3	0.987512552
-1.5	-2.5	0.79913674
-1.5	-2	0.415104383
-1.5	-1.5	-0.070560004
-1.5	-1	-0.538948841
-1.5	-0.5	-0.875384206
-1.5	0	-0.997494987
-1.5	0.5	-0.875384206
-1.5	1	-0.538948841
-1.5	1.5	-0.070560004
-1.5	2	0.415104383
-1.5	2.5	0.79913674
-1.5	3	0.987512552
-1	-3	0.833049961
-1	-2.5	0.674139107
-1	-2	0.350175488
-1	-1.5	-0.059523303
-1	-1	-0.454648713
-1	-0.5	-0.738460263
-1	0	-0.841470985
-1	0.5	-0.738460263
-1	1	-0.454648713
-1	1.5	-0.059523303
-1	2	0.350175488
-1	2.5	0.674139107
-1	3	0.833049961
-0.5	-3	0.474627686
-0.5	-2.5	0.384088709
-0.5	-2	0.199511421
-0.5	-1.5	-0.033913221
-0.5	-1	-0.259034724
-0.5	-0.5	-0.420735492
-0.5	0	-0.479425539
-0.5	0.5	-0.420735492
-0.5	1	-0.259034724
-0.5	1.5	-0.033913221
-0.5	2	0.199511421
-0.5	2.5	0.384088709
-0.5	3	0.474627686
0	-3	0
0	-2.5	0
0	-2	0
0	-1.5	0
0	-1	0
0	-0.5	0
0	0	0
0	0.5	0
0	1	0
0	1.5	0
0	2	0
0	2.5	0
0	3	0
0.5	-3	-0.474627686
0.5	-2.5	-0.384088709
0.5	-2	-0.199511421
0.5	-1.5	0.033913221
0.5	-1	0.259034724
0.5	-0.5	0.420735492
0.5	0	0.479425539
0.5	0.5	0.420735492
0.5	1	0.259034724
0.5	1.5	0.033913221
0.5	2	-0.199511421
0.5	2.5	-0.384088709
0.5	3	-0.474627686
1	-3	-0.833049961
1	-2.5	-0.674139107
1	-2	-0.350175488
1	-1.5	0.059523303
1	-1	0.454648713
1	-0.5	0.738460263
1	0	0.841470985
1	0.5	0.738460263
1	1	0.454648713
1	1.5	0.059523303
1	2	-0.350175488
1	2.5	-0.674139107
1	3	-0.833049961
1.5	-3	-0.987512552
1.5	-2.5	-0.79913674
1.5	-2	-0.415104383
1.5	-1.5	0.070560004
1.5	-1	0.538948841
1.5	-0.5	0.875384206
1.5	0	0.997494987
1.5	0.5	0.875384206
1.5	1	0.538948841
1.5	1.5	0.070560004
1.5	2	-0.415104383
1.5	2.5	-0.79913674
1.5	3	-0.987512552
2	-3	-0.90019763
2	-2.5	-0.728477828
2	-2	-0.378401248
2	-1.5	0.064321155
2	-1	0.491295496
2	-0.5	0.797983565
2	0	0.909297427
2	0.5	0.797983565
2	1	0.491295496
2	1.5	0.064321155
2	2	-0.378401248
2	2.5	-0.728477828
2	3	-0.90019763
2.5	-3	-0.592482932
2.5	-2.5	-0.479462137
2.5	-2	-0.24905229
2.5	-1.5	0.042334245
2.5	-1	0.323355879
2.5	-0.5	0.525208717
2.5	0	0.598472144
2.5	0.5	0.525208717
2.5	1	0.323355879
2.5	1.5	0.042334245
2.5	2	-0.24905229
2.5	2.5	-0.479462137
2.5	3	-0.592482932
3	-3	-0.139707749
3	-2.5	-0.113057393
3	-2	-0.058726645
3	-1.5	0.009982434
3	-1	0.076247466
3	-0.5	0.123844458
3	0	0.141120008
3	0.5	0.123844458
3	1	0.076247466
3	1.5	0.009982434
3	2	-0.058726645
3	2.5	-0.113057393
3	3	-0.139707749
