0	0.49256
0.0327067	0.468074
0.065169	0.443986
0.0973904	0.420337
0.129375	0.397171
0.161125	0.374954
0.192645	0.353284
0.223937	0.332566
0.255006	0.312656
0.285854	0.293731
0.316485	0.275427
0.346901	0.257724
0.377106	0.24046
0.407102	0.224183
0.436892	0.208703
0.466479	0.193782
0.495866	0.179705
0.525055	0.166213
0.55405	0.153261
0.582852	0.141039
0.611465	0.129254
0.63989	0.118054
0.668131	0.10747
0.696189	0.0974938
0.724067	0.0880675
0.751767	0.0792613
0.779291	0.0710613
0.806642	0.0632912
0.833822	0.0563512
0.860833	0.0498212
0.887677	0.0439725
0.914356	0.0384487
0.940873	0.0335312
0.967228	0.028975
0.993424	0.0249125
1.01946	0.02129
1.04535	0.01807
1.07108	0.0151488
1.09666	0.0126675
1.12209	0.010455
1.14737	0.00858625
1.1725	0.00689
1.19749	0.005525
1.22234	0.00434125
1.24705	0.00337875
1.27161	0.00255125
1.29604	0.0019075
1.32033	0.0014125
1.34449	0.00102625
1.36851	0.00073625
1.3924	0.0005175
1.41616	0.000335
1.43979	0.00021125
1.4633	0.0001275
1.48667	7.25e-05
1.50992	4.5e-05
1.53305	2.25e-05
1.55606	1.5e-05
1.57894	1e-05
1.6017	6.25e-06
1.62435	3.75e-06
1.64687	2.5e-06
1.66929	1.25e-06
1.69158	1.25e-06
